subscription_id,customer_id,plan_name,monthly_fee_USD,subscription_start,subscription_end,tenure_months,total_revenue_USD,subscription_status,cancellation_reason,payment_method
SUB-0467,CUST-0448,Professional,$79.00,2023-03-16,2024-06-02,14.6,1153.4,Active,,Credit Card
SUB-0468,CUST-0449,Starter,29,2022-08-13,26/11/2022,3.4,98.6,Cancelled,Found alternative,Bank Transfer
SUB-0469,CUST-0450,Professional,79,05/01/2019,2024-05-14,60.4,4771.6,Cancelled,Missing features,Bank Transfer
SUB-0470,CUST-0451,Enterprise,499,14 September 2022,2023-08-12,10.9,5439.1,Cancelled,Switched to competitor,Credit Card
SUB-0471,CUST-0452,Enterprise,499,"August 30, 2022",2023-01-29,5,2495,cancelled,Switched to competitor,PayPal
SUB-0472,CUST-0453,Professional,79,2019-03-25,2020-08-07,16.5,1303.5,Cancelled,Switched to competitor,Bank Transfer
SUB-0473,CUST-0454,Starter,29,2020-02-25,2021-09-03,18.3,530.7,Cancelled,Poor support,Credit Card
SUB-0474,CUST-0455,Enterprise,499,2019-07-17,2020-01-10,5.8,2894.2,cancelled,Company closure,Bank Transfer
SUB-0475,CUST-0456,Professional,79,2022-01-12,2025-05-31,40.6,3207.4,Active,,PayPal
SUB-0476,CUST-0457,Professional,79,2021-06-26,2024-05-13,34.6,2733.4,Cancelled,Found alternative,Bank Transfer
SUB-0477,CUST-0458,Starter,29,2021-02-26,11/09/2022,18.5,536.5,Cancelled,No longer needed,PayPal
SUB-0478,CUST-0459,Enterprise,499,2022-01-15,2025-04-11,38.8,19361.2,Active,,Bank Transfer
SUB-0479,CUST-0460,Business,199,2022-08-28,2025-03-28,31,6169,Active,,PayPal
SUB-0480,CUST-0461,Starter,29,2022-09-09,2024-05-23,20.4,591.6,Cancelled,Found alternative,Credit Card
SUB-0481,CUST-0462,Enterprise,499,2020-01-28,2020-05-14,3.5,1746.5,Cancelled,Budget cuts,Credit Card
SUB-0482,CUST-0463,Starter,29,"June 28, 2022",2024-01-15,18.6,539.4,Cancelled,Poor support,PayPal
SUB-0483,CUST-0464,Starter,29,27/10/2022,"June 10, 2025",31.4,910.6,Active,,Credit Card
SUB-0484,CUST-0465,Professional,79,2019-10-16,30/05/2023,,3428.6,Cancelled,Found alternative,Crypto
SUB-0485,CUST-0465,Enterprise,499,2019-10-07,2022-05-17,31.3,15618.7,cancelled,Too expensive,PayPal
SUB-0486,CUST-0466,Business,199,2019-03-25,2024-05-20,61.9,12318.1,Cancelled,Budget cuts,Crypto
SUB-0487,CUST-0467,Professional,79,2020-06-25,2022-06-26,24,1896,Cancelled,Poor support,PayPal
SUB-0488,CUST-0468,Professional,79,2019-02-13,04/04/2025,73.7,5822.3,active,,Credit Card
SUB-0489,CUST-0469,enterprise,499,2021-09-27,2021-11-23,1.9,948.1,Cancelled,No longer needed,Crypto
SUB-0490,CUST-0470,Enterprise,499,30 March 2023,"April 17, 2024",12.6,6287.4,Cancelled,Switched to competitor,Bank Transfer
SUB-0491,CUST-0471,Business,199,2023-08-05,21/11/2026,39.6,7880.4,Active,,Crypto
SUB-0492,CUST-0472,Starter,29,06/10/2023,2026-08-02,,$983.10,Active,,Crypto
SUB-0493,CUST-0473,Professional,79,2021-12-23,17 April 2022,3.8,300.2,CANCELLED,Found alternative,Credit Card
SUB-0494,CUST-0474,Professional,79,2021-11-27,24/11/2022,11.9,940.1,Cancelled,Too expensive,Credit Card
SUB-0495,CUST-0475,Business,199,2023-04-09,2023-12-06,7.9,1572.1,Cancelled,Found alternative,Credit Card
SUB-0496,CUST-0476,Starter,29,2020-08-20,2022-04-30,20.3,588.7,Cancelled,Budget cuts,Credit Card
SUB-0497,CUST-0477,Professional,79,2021-10-20,2024-04-25,30.2,2385.8,Cancelled,No longer needed,PayPal
SUB-0498,CUST-0478,Enterprise,$499.00,07/12/2023,2024-02-13,2.2,1097.8,Cancelled,No longer needed,Bank Transfer
SUB-0499,CUST-0479,Starter,29,03/22/2023,2024-05-31,14.3,414.7,Cancelled,No longer needed,Credit Card
SUB-0500,CUST-0480,Enterprise,499,2019-03-18,2022-05-17,38,18962,Cancelled,Too expensive,Credit Card
